"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"450102",105,514,115,96,0,18,73,23,0,0.75105617274292,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,73,0,0,0,0,0,23,0,0,10,0,0,0,0,0,0,"45"
"450103",550,2008,579,482,0,41,180,294,4,3.0560486938879,0,0,0,26,7,185,8,0,0,0,41,39,17,0,0,169,0,0,12,91,189,46,255,116,110,2,4,0,0,10,16,"45"
"450104",104,502,155,122,0,3,96,25,0,1.94484297784154,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,93,0,0,3,1,1,23,4,33,35,0,0,0,0,0,0,"45"
"450105",33,153,59,43,0,0,43,0,0,1.33209417596035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"45"
"450106",107,508,165,127,0,18,95,18,0,1.80757187588955,0,0,0,0,0,0,0,1,0,0,18,0,4,0,0,78,4,0,13,7,0,12,3,39,39,3,0,0,0,0,0,"45"
"450108",302,1588,571,428,0,2,424,2,0,3.9751091297483,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,424,0,0,0,0,0,2,2,17,13,0,0,0,0,0,0,"45"
"450109",79,375,124,107,0,2,93,12,0,1.81941846624724,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,93,0,0,0,0,0,12,11,27,12,0,0,0,0,0,0,"45"
"450110",40,216,79,64,0,0,57,1,6,1.43176733780761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,0,30,11,0,6,0,0,0,0,"45"
"450117",102,537,190,143,0,1,132,10,0,2.44821092278719,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,132,0,0,0,1,6,5,0,19,25,0,0,0,0,0,0,"45"
"450118",84,391,142,102,0,23,73,8,0,1.65988608624898,0,0,0,1,0,0,0,2,0,19,2,0,0,0,0,71,0,0,2,1,0,8,4,13,11,0,0,0,0,0,0,"45"
