"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
1401,372,1692,331,274,0,55,219,0,0,0.511442117445029,0,0,0,0,33,15,6,0,0,0,55,36,0,0,0,212,0,0,7,19,14,0,36,39,35,0,0,0,0,0,0,"14"
1402,294,1359,278,236,0,62,184,0,0,0.77988169591223,0,0,0,0,35,1,4,3,8,8,52,41,9,0,0,176,0,0,11,16,20,0,34,21,18,2,1,0,0,0,0,"14"
1403,758,2356,536,442,0,345,106,0,0,1.83387270765912,0,0,0,1,5,25,6,9,0,0,343,35,5,0,0,94,0,0,12,13,36,0,82,101,70,98,0,0,0,23,2,"14"
1404,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14"
1405,4,19,5,2,0,1,1,0,0,0.00791107946679324,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"14"
1406,725,3074,488,418,0,96,323,0,0,0.682939581086822,0,0,0,0,0,17,12,41,0,0,55,0,5,1,0,289,4,0,31,45,74,0,123,141,98,11,0,2,0,4,8,"14"
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14"
1408,375,1405,417,352,0,183,174,0,0,1.32760051293656,0,0,0,0,0,29,4,0,0,0,183,6,17,0,0,172,2,0,0,43,44,0,114,184,101,15,1,0,0,15,0,"14"
1409,105,397,112,97,0,55,42,0,0,0.453949831523774,0,0,0,0,4,3,3,8,0,0,47,0,7,0,0,2,2,0,38,17,13,2,50,15,18,0,0,0,0,0,0,"14"
1410,301,1494,282,230,0,3,227,0,0,0.879204892966361,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,227,0,0,0,0,0,0,118,15,18,0,0,0,0,0,0,"14"
1411,505,1880,253,220,0,123,104,0,0,0.524959434952754,0,0,0,5,8,7,8,25,53,2,56,13,10,2,0,96,2,0,6,12,17,0,57,23,33,2,0,0,0,0,14,"14"
1412,183,1001,200,159,0,3,156,0,0,0.337500795992443,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,149,0,0,7,0,15,0,38,11,13,0,0,0,0,0,0,"14"
1413,161,802,176,131,0,0,131,0,0,1.14191073919107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,1,15,0,13,9,15,0,0,0,0,0,0,"14"
1414,257,1184,240,204,0,40,164,0,0,0.619552343061925,0,0,0,1,1,6,4,9,4,0,30,4,12,0,0,109,8,0,49,19,16,0,72,58,55,4,2,0,0,3,5,"14"
1415,4,17,4,4,0,0,4,0,0,0.0214834309039154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,"14"
1416,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14"
