"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
3401,1757,6892,1563,1253,141,0,1112,0,0,1.05717877542755,2,0,0,10,41,2,88,0,0,4,12,9,10,0,0,1100,1,0,11,10,16,0,172,271,267,5,0,0,0,0,0,"34"
3402,1187,5160,1702,1357,51,0,1310,0,0,2.79695776738051,0,0,0,25,19,5,10,5,2,1,42,21,25,3,0,1239,3,0,77,14,16,0,251,257,305,4,1,4,0,11,22,"34"
3403,1,8,1,1,0,0,1,0,0,0.0057696745903531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"34"
3404,299,1152,489,348,220,0,138,0,0,0.422458270106222,0,0,0,29,124,12,77,2,0,14,29,16,12,0,0,70,13,0,55,21,35,0,29,131,142,3,0,0,0,0,25,"34"
3405,749,3355,860,753,74,0,681,0,0,1.98539299180004,0,0,0,27,48,0,1,2,5,7,40,6,11,5,0,666,2,0,13,11,5,0,319,106,120,0,0,0,0,0,7,"34"
3407,1492,7324,2523,2033,71,0,1967,0,0,1.81714173347992,0,0,0,7,55,0,9,0,0,0,29,0,3,0,0,1895,0,0,77,6,6,0,111,239,416,0,0,0,0,0,0,"34"
3408,731,3530,823,739,16,0,726,0,0,2.05448985265499,0,0,0,1,4,0,11,0,0,0,2,0,1,3,0,726,0,0,0,0,0,0,72,46,45,0,6,0,0,0,2,"34"
3409,1026,4595,1074,927,147,0,792,0,0,2.08352063292277,0,0,2,58,21,7,71,0,0,0,10,2,5,0,1,754,1,0,39,11,4,0,251,164,188,1,0,0,0,0,4,"34"
3410,1274,4682,1537,1353,355,0,1022,0,0,2.61393713413574,0,0,0,129,37,90,202,3,1,1,101,3,16,6,4,1007,11,0,0,22,30,0,158,337,345,16,0,0,0,2,8,"34"
3411,1895,8662,2537,2187,460,0,1783,0,0,2.54175237962414,5,6,2,190,246,13,42,5,16,13,183,38,147,0,1,1701,15,0,80,60,43,5,330,520,598,21,1,1,0,4,45,"34"
